"MLog","RescueDate","RescuePerDay","State","County","City","Waterway","Latitude","Longitude","Pregnant","Health","RescueType","PrimCauseID","PrimText","SecCauseID","SecText","WhereRel","Dead","Tracker","Transporter","FacTransTo","VetID","PartOrg","FloodGate","Pot","Weight","EstW","WDate","Length","EstL","LDate","Comments","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
1535,2013-03-29 00:00:00.000,1,FL,Lee,Matlacha,Matlacha Pass,26.626120,-82.070030,M,S,A,NaRe,,,,,0,,,,,"FWC SW, FWRI, FWC LE",,,,,,200,Y,2013-03-29 00:00:00.000,"Manatee was beached, occasionally raising head and tail.  Manatee was pushed off the sandbar by the complainant.  Manatee was observed swimming in shallow water and at last observance, appeared to be exhibiting normal behavior.",FWCSW,dszemer,2014-01-24 13:53:06.073,dszemer,2015-09-25 11:01:56.470
1536,2013-04-15 00:00:00.000,1,FL,Lee,Sanibel,San Carlos Bay,26.466670,-82.063480,M,U,U,NaRe,,,,,0,,,,,"FWC SW, USFWS, FWC LE",,,,,,275,Y,2013-04-15 00:00:00.000,Manatee struggling at the surface.  Fisherman was holding manatee's head above water & idling towards shallows when he was informed by unknown officer to let it go or he would be arrested.  Manatee last seen swimming irratically in the shallows when officers went to collect rescue staff.  Manatee could not be relocated.,FWCSW,dszemer,2014-01-24 14:02:45.350,dszemer,2015-09-25 12:33:31.760
1537,2013-04-28 00:00:00.000,1,FL,Lee,Ft. Myers,Shell Creek,26.510390,-82.008300,M,U,U,Enta,,,,,0,,,,,Citizen,,,,,,245,Y,2013-04-28 00:00:00.000,Manatee thrashing at surface with nylon rope and white buoy around left flipper.  Citizen cut buoy free and animal swam off with line still around flipper.  Unknown if all of line came free.,FWCSW,dszemer,2014-01-24 14:09:26.907,dszemer,2015-09-28 13:17:13.417
1538,2013-05-12 00:00:00.000,1,FL,Lee,Ft. Myers Beach,Estero Bay,26.394170,-81.865750,M,S,A,Enta,,,,,0,,,,,FWC Volunteer,,,,,,305,Y,2013-05-12 00:00:00.000,"FWC Volunteer came across a manatee with left flipper loosely wrapped with black line.  Manatee rolled, exposing flipper and Volunteer was able to loosen a single knot and the line slipped off flipper.  Line retained.  No abrasions observed to flipper.",MMPL,dszemer,2014-01-27 09:21:21.390,dszemer,2015-09-28 13:33:06.303
1539,2013-09-16 00:00:00.000,1,FL,Collier,Naples,First National Bay,26.052100,-81.768740,U,S,I,Inc ,,,,,0,,,,,"FWC SW, FWC MMPL, FWC LE, RBNERR",,,,,,200,Y,2013-09-16 00:00:00.000,Captured during rescue attempt of RSW1332.,FWCSW,dszemer,2014-01-27 10:26:55.673,dszemer,2015-09-30 08:24:25.750
1540,2013-10-24 00:00:00.000,1,FL,Lee,Matlalcha,Matlacha Pass,26.561900,-82.075450,M,S,A,Enta,,,,,0,,,,,"FWC SW, FWC MMPL, FWC LE, Lee Co. DNR, Lee Co SO",,,,,,159,N,2013-10-24 00:00:00.000,"Mother/calf pair. After careful evaluation of the calf’s entanglement & consultation with Lowry Park Zoo Vet-Dr. Ball, the gear was removed, wounds were disinfected, and both manatees were release on site.    ",FWCSW,dszemer,2014-01-27 10:40:07.690,dszemer,2015-09-30 09:18:11.687
1541,2013-10-24 00:00:00.000,1,FL,Lee,Matlacha,Matlacha Pass,26.561910,-82.075450,U,S,A,Mom ,,,,,0,,,,,"FWC SW, FWC MMPL, FWC LE, Lee Co. DNR, Lee Co.SO",,,,,,314,N,2013-10-24 00:00:00.000,mother/calf pair. Calf (RSW1333) disentangled and both released on site.,FWCSW,dszemer,2014-01-27 11:14:48.750,dszemer,2015-09-30 09:37:14.147
1542,2013-10-31 00:00:00.000,1,FL,Lee,St. James City,San Carlos Bay,26.490730,-82.078030,M,S,I,Inc ,,,,,0,,,,,"FWC SW, FWC LE, Lee Co DNR, Lee Co SO",,,,,,250,Y,2013-10-31 00:00:00.000,captured during rescue of RSW1335,FWCSW,dszemer,2014-01-27 11:29:46.970,dszemer,2015-10-02 07:39:25.020
1543,2013-11-12 00:00:00.000,1,FL,Collier,Marco Island,Gulf of Mexico,25.963040,-81.750820,M,S,A,NaTi,,,,,0,,,,,"FWC SW, FWC LE, City of Marco Island",,,,,,245,Y,2013-11-12 00:00:00.000,,FWCSW,dszemer,2014-01-27 11:33:15.773,dszemer,2015-09-30 10:22:23.523
1544,2013-03-25 00:00:00.000,1,FL,Brevard,Port St. John,Indian River,28.468200,-80.764050,M,U,A,TrPo,Sucked against grate in intake #3 of FPL plant,,,,1,,,,,FPL,,,50,N,2013-03-26 00:00:00.000,132,N,2013-03-26 00:00:00.000,Live manatee calf caught in intake well #3 at FPL-Cape  Canaveral Plant. Calf appeared to have been “mushed up against the bars” so pump turned off and calf appeared okay. Found dead later in intake #4.,FWCIR,dszemer,2014-01-27 12:17:44.423,dszemer,2015-09-28 12:20:48.517
1545,2013-07-23 00:00:00.000,1,FL,Clay,Orange Park,St. Johns River,30.182320,-81.696820,M,S,A,Enta,anchor line,,,,0,,,,,,,,,,,170,Y,2013-07-23 00:00:00.000,Citizen release  ,FWCNE,rcimino,2014-01-28 07:38:18.960,dszemer,2015-09-29 13:47:33.127
1546,2013-08-03 00:00:00.000,1,FL,Volusia,Daytona Beach,Halifax River,29.203800,-81.013670,M,U,U,Enta,Unknown if all gear removed.,,,,0,,,,,,,,,,,250,Y,2013-08-03 00:00:00.000,Citizen Release,FWCNE,rcimino,2014-01-28 07:44:10.410,dszemer,2015-09-29 14:20:08.830
1547,2013-10-28 00:00:00.000,1,FL,Duval,Jacksonville,St. Johns River,30.131120,-81.658360,M,S,A,Enta,,,,,0,,,,,,,A,,,,290,Y,2013-10-28 00:00:00.000,,FWCNE,rcimino,2014-01-28 07:48:04.490,dszemer,2015-09-30 09:44:47.113
1548,2013-04-03 00:00:00.000,1,FL,Lee,Fort Myers,Orange River,26.686980,-81.787040,M,C,B,BoIm,,,,,0,,FWCSW,LPZ,rball,,,,342,N,2013-04-05 00:00:00.000,280,N,2013-04-05 00:00:00.000,,LPZ,vedmonds,2014-02-14 18:20:04.373,dszemer,2015-09-25 11:25:05.347
1549,2013-04-07 00:00:00.000,1,FL,Lee,Bokeelia,Charlotte Harbor,26.707270,-82.159260,M,C,B,NaRe,,,,,0,,FWCSW,LPZ,rball,,,,406,N,2013-04-07 00:00:00.000,283,N,2013-04-08 00:00:00.000,,LPZ,vedmonds,2014-01-30 12:27:29.980,dszemer,2015-09-25 11:35:06.697
1550,2013-10-31 00:00:00.000,1,FL,Lee,St. James City,San Carlos Bay,26.490740,-82.078030,N,C,B,BoIm,,,,,0,,FWCSW,LPZ,rball,,,,615,N,2013-10-31 00:00:00.000,314,N,2013-10-31 00:00:00.000,,LPZ,vedmonds,2014-01-30 14:20:59.430,dszemer,2015-09-30 09:54:15.627
1551,2013-11-08 00:00:00.000,1,FL,Lee,Fort Myers,Orange River,26.690530,-81.796810,M,C,B,BoIm,,,,,0,,FWCSW,LPZ,rball,,,,468,N,2013-11-08 00:00:00.000,312,N,2013-11-08 00:00:00.000,manatee has a bilateral pnemothorax,LPZ,vedmonds,2014-02-14 17:31:14.807,dszemer,2015-09-30 10:11:53.337
1552,2013-12-13 00:00:00.000,1,FL,Pinellas,St. Petersburg,St. Joe's Creek,27.812460,-82.737490,N,G,B,NaDp,,NaCs,,,0,,MMPL,LPZ,rball,,,,94,N,2013-12-13 00:00:00.000,155,N,2013-12-13 00:00:00.000,,LPZ,vedmonds,2014-01-30 15:12:51.640,dszemer,2015-10-01 07:28:14.340
1553,2013-12-19 00:00:00.000,1,FL,Citrus,Crystal River,Kings Bay,28.882120,-82.594740,N,G,B,NaEm,,,,,0,,MMPL,LPZ,rball,,,,170,N,2013-12-19 00:00:00.000,208,N,2013-12-19 00:00:00.000,,LPZ,vedmonds,2014-01-30 15:18:47.047,dszemer,2015-10-01 07:52:27.477
1554,2013-12-27 00:00:00.000,1,FL,Lee,Cape Coral,Matlacha Pass,26.641490,-82.043470,N,G,B,Enta,,,,,0,,FWCSW,LPZ,rball,,,U,111,N,2013-12-27 00:00:00.000,188,N,2013-12-27 00:00:00.000,,LPZ,vedmonds,2014-01-30 15:24:49.120,dszemer,2015-10-01 07:58:58.013
1555,2014-01-10 00:00:00.000,1,FL,Charlotte,Punta Gorda,Peace River,26.916620,-82.055820,M,G,B,NaCs,,,,,0,,FWCSW,LPZ,rball,,,,254,N,2014-01-10 00:00:00.000,234,N,2014-01-10 00:00:00.000,,LPZ,vedmonds,2014-01-30 15:35:48.490,dszemer,2015-10-07 07:57:54.850
1556,2014-01-17 00:00:00.000,1,FL,Sarasota,Sarasota,Myakka River,27.188140,-82.351810,M,G,B,NaDp,,NaCs,,,0,,FWCSW,LPZ,rball,,,,98,N,2014-01-17 00:00:00.000,173,N,2014-01-17 00:00:00.000,,LPZ,vedmonds,2014-01-30 15:44:07.900,dszemer,2015-10-07 08:43:46.297
1556,2016-02-16 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River (Garrison Channel),27.941509,-82.450240,M,C,B,NaNS,"staying in same area, not responding to recent cold front",NaCs,"elevated, labored, whining respirations; whitening around nostrils and facial folds",,1,,MMPL,MMPL,,"FWC MMPL, FWC EC, Sea to Shore, S FL Museum, Lowry Park Zoo",,,309,N,2016-02-16 00:00:00.000,245,N,2016-02-16 00:00:00.000,,MMPL,dszemer,2016-07-19 11:56:32.050,dszemer,2016-09-15 07:46:24.953
1557,2014-01-27 00:00:00.000,1,FL,Pinellas,St. Petersburg,Boca Ciega Bay,27.707120,-82.684589,N,G,B,NaCs,,,,,0,,MMPL,LPZ,rball,,,,195,N,2014-01-27 00:00:00.000,210,N,2014-01-27 00:00:00.000,,LPZ,vedmonds,2014-01-30 15:47:16.917,D,2014-01-30 15:47:16.917
1558,2014-02-01 00:00:00.000,1,FL,Palm Beach,Jupiter,SW Fork Loxahatchee River,26.936640,-80.139610,M,C,B,NaCs,,,,,0,,FWCT,MSQ,mrodriguez,,,,,,,211,N,2014-02-01 00:00:00.000,,MSQ,jlinvill,2014-02-06 12:30:26.593,dszemer,2015-10-07 09:29:27.020
1559,2014-02-01 00:00:00.000,1,FL,Martin,Stuart,Indian River Lagoon (ICW),27.186520,-80.181970,M,S,A,NaTi,,,,,0,,,,,"FWC SEFL Lauren Connor 
FWCLE Officer Koch and FWCLE Officer Moss",,,,,,220,Y,2014-01-02 00:00:00.000,"From the help of FWC staff and volunteers, the manatee was able to move into deeper waters ",FWCT,lconnor,2014-02-13 13:31:15.670,dszemer,2015-10-07 09:23:57.710
1560,2014-02-03 00:00:00.000,1,FL,Broward,Ft. Lauderdale,South Fork New River,26.086140,-80.181840,M,S,A,Enta,,,,,0,,,,,Citizen Rescue,,U,,,,180,Y,2014-02-03 00:00:00.000,Citizen jumped into the water and was able to cut off the entangled rope and debris from the manatees left flipper,FWCT,lconnor,2014-02-13 13:36:46.013,dszemer,2015-10-07 10:05:43.070
1561,2014-02-01 00:00:00.000,1,FL,Lee,Fort Myers,Orange River,26.687720,-81.788250,N,C,B,NaUn,,,,,0,,FWCSW,LPZ,rball,,,,570,N,2014-02-01 00:00:00.000,320,Y,2014-02-01 00:00:00.000,,LPZ,vedmonds,2014-02-14 08:25:05.240,dszemer,2015-10-07 09:56:56.800
1562,2014-02-04 00:00:00.000,1,FL,Lee,Fort Myers,Orange River,26.689660,-81.782080,N,G,B,Enta,,,,,0,,FWCSW,LPZ,rball,,,U,273,N,2014-02-04 00:00:00.000,248,N,2014-02-04 00:00:00.000,animal was first reported on 12/23/2013,LPZ,vedmonds,2014-02-14 08:31:50.900,dszemer,2015-10-07 11:30:47.127
1563,2014-02-06 00:00:00.000,1,FL,Sarasota,Sarasota,Little Sarasota Bay,27.256800,-82.522700,N,S,B,NaCs,,,,,0,,FWCSW,LPZ,rball,,,,186,N,2014-02-06 00:00:00.000,220,N,2014-02-06 00:00:00.000,,LPZ,vedmonds,2014-02-14 08:36:51.477,dszemer,2015-10-07 11:37:52.590
1564,2014-02-07 00:00:00.000,1,FL,Citrus,Crystal RIver,Three Sisters Spring,28.887959,-82.589456,N,C,B,NaBu,manatee crawling on rocks to breathe,,,,0,,CHASS,LPZ,rball,,,,191,N,2014-02-07 00:00:00.000,205,Y,2014-02-07 00:00:00.000,"Manatee reported by Capt. John Hann. FWS rescued the animal using a hoop net under the edge of the sanctuary. Manatee is negatively buoyant, folding tail on ground to breathe.",LPZ,vedmonds,2014-02-14 08:44:41.247,dszemer,2014-03-11 12:19:37.113
1565,2014-02-17 00:00:00.000,1,FL,Hillsborough,Apollo Beach,TECO discharge canal,27.792850,-82.401630,N,C,B,NaBu,pneumonia,NaEm,,,0,,MMPL,LPZ,rball,,,,136,N,2014-02-17 00:00:00.000,208,N,2014-02-17 00:00:00.000,"manatee was seen in the discharge canal for about a week.  Not able to surface, demonstrating buoyancy issues.",LPZ,vedmonds,2014-02-20 10:24:27.703,dszemer,2015-10-08 07:13:35.160
1566,2014-01-28 00:00:00.000,1,FL,Brevard,Indian Harbour Beach,Grand Canal (DeSoto Canal),28.162940,-80.603050,N,G,B,NaDp,,,,,0,,FWCIR,SWF,lcroft,"FWC-Indian River Field Lab
SWF",,,55,N,2014-01-28 00:00:00.000,142,N,2014-01-28 00:00:00.000,"Animal was found alone in the Desoto Canal (southern ditch, just east of 408 McGuire Blvd)no other animals around. She was a somewhat thin. Animal was rescued and transported by FWC.",SWF,bwagoner,2014-02-23 14:03:55.690,dszemer,2015-10-07 09:17:35.297
1566,2016-02-11 00:00:00.000,1,FL,Brevard,Cocoa Beach,Banana River,28.367720,-80.623120,U,C,B,NaCs,,,,,0,,SWF,SWF,sgearhart,"FWC-Indian River Field Lab
Sea2Shore-Melody
SWF Rescue crew",,,266,N,2016-02-11 00:00:00.000,233,N,2016-02-11 00:00:00.000,"Known animal, Shirley, she was originally rescued 1/28/14 as an orphaned calf and brought into rehab and was hand-reared at SWF. She was then released on 1/19/16 from the Port St John ramp over by the FPL warm water outflow area. She was belted and tracked by S2S, at first staying in the outflow area but then she was observed not using the warm water area and had lesions all over her body. She was rescued again for cold stress on 2/11/16",SWF,bwagoner,2016-03-20 11:45:39.237,dszemer,2016-09-14 10:45:06.160
1567,2014-02-18 00:00:00.000,1,FL,Volusia,Ormond Beach,Tomoka River,29.348200,-80.092410,M,G,B,NaCs,,,,,0,,FWCNE,SWF,lcroft,"FWC-Northeast Field Lab/ Jacksonville Zoo Staff
SWF",,,282,N,2014-02-18 00:00:00.000,255,N,2014-02-18 00:00:00.000,Animal was rescued by FWC in Tomoka River across from the Tomoka State Park boat ramp via open water net set with FWC rescue boat,SWF,bwagoner,2014-02-23 14:12:35.417,dszemer,2015-10-08 07:18:59.773
1568,2013-01-11 00:00:00.000,1,FL,Citrus,Homosassa,Blue Waters,28.798810,-82.659070,M,S,A,Enta,,,,,0,,,,,"USFWS Crystal River NWR, Citizen (Tracy Wood)",,,,,,320,Y,2013-01-11 00:00:00.000,"Hook not deeply embedded, easily removed by citizen.",CHASS,jvalade,2014-02-27 10:12:15.440,jvalade,2014-02-27 10:15:05.183
1569,2013-03-11 00:00:00.000,1,FL,Citrus,Crystal River,Three Sisters Springs,28.888346,-82.589008,M,S,A,Enta,,,,,0,,,,,USFWS Crystal River NWR,,,,,,150,Y,2013-03-11 00:00:00.000,"Captured in net, lure dislodged during capture, reunited with mother after release.",CHASS,jvalade,2014-02-27 11:59:33.150,D,2014-02-27 11:59:33.150
1571,2013-03-31 00:00:00.000,1,FL,Citrus,Crystal River,Three Sisters Springs,28.888086,-82.589761,M,U,U,Enta,,,,,0,,,,,USFWS Crystal River NWR (Boyd Blihovde),,,,,,215,Y,2013-03-31 00:00:00.000,"Hook broke off during removal, removed part of hook, line, and weights that were attached to it.  Unknown outcome, successful??",CHASS,jvalade,2014-02-27 13:36:47.233,D,2014-02-27 13:36:47.233
1576,2013-12-13 00:00:00.000,1,FL,Citrus,Crystal River,Three Sisters Springs,28.888019,-82.589689,M,U,U,Enta,"Spider Pro monofilament line in mouth and around left flipper. Cut, 5-6 inches remain hanging from mouth.",,,,0,,,,,"Captain John, Bird's Underwater, reported a manatee in the Three Sisters Springs sanctuary with fishing line wrapped around its flipper and a hook in its mouth.",,,,,,180,Y,2013-12-13 00:00:00.000,"Refuge Officer Ryan Maier, FWS, removed several yards of power pro from the flipper leaving 5-6"" remaining from mouth.",CHASS,jkleen,2014-02-28 07:51:27.997,jvalade,2014-02-28 08:53:01.453
1580,2013-05-10 00:00:00.000,1,FL,Citrus,Crystal River,Three Sisters Springs,28.887710,-82.590313,M,U,U,Huma,"Possible ingestion, monofilament line sticking out of mouth, about 5"". ",,,,0,,,,,USFWS Crystal River NWR (Vicente),,,,,,180,Y,2013-05-10 00:00:00.000,"Ingestion, monofilament line sticking out of mouth, about 5"".  Pulled on line, rigid.  Second sighting not observed.  Unknown if swallowed.",CHASS,jvalade,2014-02-28 10:32:40.627,dszemer,2014-03-03 09:55:14.170
1581,2014-02-09 00:00:00.000,1,FL,Citrus,Crystal River,Idiots Delight II Three Sisters Springs,28.888022,-82.589514,M,S,U,Enta,fishing lure imbedded in right side of mouth,,,,0,,,,,FWS: Ivan Vicente and Ryan Maier,,,,,,330,Y,2014-02-09 00:00:00.000,"11' manatee with fishing lure with three treble hooks imbedded in the right side of the manatee's facial plate.Ivan used a hook cutter to cut lure & remove a large bundle of fishing line. Piece of hook still imbedded.",FWS,jkleen,2014-02-28 13:42:25.627,dszemer,2014-03-17 08:50:23.070
1582,2014-03-02 00:00:00.000,1,FL,Brevard,Titusville,Indian River,28.505430,-80.780080,M,G,B,NaDp,,NaCs,,,0,,FWCIR,LPZ,rball,,,,47,N,2014-03-02 00:00:00.000,135,N,2014-03-02 00:00:00.000,,LPZ,vedmonds,2014-03-04 08:59:13.090,dszemer,2015-10-08 07:33:29.597
1583,2014-03-10 00:00:00.000,1,FL,Lee,St. James City,San Carlos Bay,26.503430,-82.080240,Y,C,B,BoBo,,,,,0,,FWCSW,LPZ,rball,Wound is very new.  Small air bubbles were streaming from the largest cut but ceased the day after rescue.,,,671,N,2014-03-10 00:00:00.000,308,N,2014-03-10 00:00:00.000,,LPZ,vedmonds,2014-03-12 06:14:29.833,dszemer,2015-10-08 10:09:47.770
1584,2014-03-03 00:00:00.000,1,FL,Monroe,Key Largo,Tarpon Basin,25.114220,-80.427300,M,S,U,Enta,,,,,0,,,,,FWC Volunteer Kit Curtin,,U,,,,275,Y,2014-03-03 00:00:00.000,"While in a kayak, Kit leaned over & cut off some of the dragging monofilament line but could not remove all.",FWCT,lconnor,2014-03-12 14:21:10.033,dszemer,2015-10-08 07:55:10.970
1585,2014-03-10 00:00:00.000,1,FL,St. Lucie,Port St. Lucie,Little Mud Creek,27.378530,-80.255450,N,C,B,BoPr,,,,,0,,FWCT,MSQ,mrodriguez,,,,91,Y,2014-03-10 00:00:00.000,182,N,2014-03-10 00:00:00.000,,MSQ,jlinvill,2014-03-31 11:47:08.683,dszemer,2015-10-08 11:29:16.110
1585,2017-04-15 00:00:00.000,1,FL,Indian River,Sebastian,Atlantic Ocean,27.856630,-80.445200,U,C,B,BoUn,,,,,0,,FWCNE,MSQ,mrodriguez,,,,475,N,2017-04-15 00:00:00.000,270,N,2017-01-18 00:00:00.000,,MSQ,jlinvill,2017-04-21 14:26:03.843,ngordon,2020-10-12 20:03:44.310
1585,2020-02-08 00:00:00.000,1,FL,St. Lucie,Jensen Beach,Indian River,27.285066,-80.246126,U,G,B,BoUn,,,,,0,,FWCT,MSQ,mrodriguez,,,,226,Y,2020-02-08 00:00:00.000,252,N,2020-02-08 00:00:00.000,Re-injury to old boat strike wounds.,MSQ,jheyde,2020-02-13 11:55:13.323,D,2020-02-13 11:55:13.323
1586,2014-03-26 00:00:00.000,1,FL,Martin,Indiantown,St. Lucie Canal (C-44),27.011610,-80.456340,N,C,B,BoIm,,,,,0,,FWCT,MSQ,mrodriguez,,,,205,Y,2014-03-26 00:00:00.000,235,N,2014-03-26 00:00:00.000,"Found just west of the railroad trestle; rescue occured ~1630 hrs, loaded ~1715 hrs, arrived to MSQ ~2030 hrs; Pnuemothorax; back floating very high out of water.",MSQ,jlinvill,2014-03-31 11:57:07.790,dszemer,2015-10-08 11:28:38.803
1587,1995-01-25 00:00:00.000,1,FL,Citrus,Homosassa,Homosassa River (Blue Waters),28.800000,-82.600000,M,S,A,Enta,,,,,0,,,,,HSWSP,,,,,,1,Y,1995-01-25 00:00:00.000,Fish hook embedded in manatee tail.  Homosassa Springs Wildlife State Park staff removed hook with pair of tongs.,MMPL,dszemer,2014-04-04 09:27:00.310,D,2014-04-04 09:27:00.310
1588,2014-04-09 00:00:00.000,1,FL,Monroe,Key Largo,Ocean Reef Harbor,25.311060,-80.276960,M,C,B,NaDp,,,,,0,,FWCT,MSQ,mrodriguez,,,,42,N,2014-04-09 00:00:00.000,130,N,2014-04-09 00:00:00.000,,MSQ,jlinvill,2014-04-26 05:51:52.600,dszemer,2015-10-09 08:46:24.220
1589,2014-04-06 00:00:00.000,1,FL,Lee,Bokeelia,Pine Island Sound,26.693950,-82.157810,M,C,B,BoPr,,,,,0,,FWCSW,LPZ,rball,,,,136,N,2014-04-08 00:00:00.000,198,N,2014-04-08 00:00:00.000,,LPZ,vedmonds,2014-04-15 11:39:03.523,dszemer,2015-10-09 08:38:22.187
1590,2014-04-18 00:00:00.000,1,FL,Charlotte,Placida,Gasparilla Sound,26.829210,-82.261990,M,C,B,BoIm,,,,,0,,FWCSW,LPZ,rball,,,,327,N,2014-04-18 00:00:00.000,287,N,2014-04-18 00:00:00.000,,LPZ,vedmonds,2014-05-02 12:35:38.287,dszemer,2015-10-09 08:56:13.697
1591,2014-04-23 00:00:00.000,1,FL,Duval,Jacksonville,Greensfield Creek,30.365760,-81.466560,M,G,B,NaUn,"lethargic, thin, beached",,,,0,,FWCNE,SWF,sgearhart,"FWC-Northeast Field Lab/ Jacksonville Zoo Team
SWF",,,334,N,2014-04-23 00:00:00.000,268,N,2014-04-23 00:00:00.000,"According to FWC animal was originally found as a tidally stranded animal but when tide did come up animal make no attempt to swim off. Animal transported to SWF by FWC, once in med pool animal just sank to bottom, had to assist him to come up for breath first few times but then started coming up on his own.",SWF,bwagoner,2014-05-04 13:36:24.400,dszemer,2015-10-09 10:03:47.753
1592,2014-05-10 00:00:00.000,1,FL,Brevard,Cape Canaveral,Banana River,28.372010,-80.610080,M,G,B,NaDp,,,,,0,,FWCIR,SWF,lcroft,"FWC-Indian River Field lab
SWF",,,130,N,2014-05-10 00:00:00.000,187,N,2014-05-10 00:00:00.000,The animal was observed swimming alone in the Banana River with possible buoyancy problems.,SWF,bwagoner,2014-05-26 12:06:24.130,dszemer,2015-10-09 11:43:59.490
1593,2014-05-21 00:00:00.000,1,FL,Brevard,Port St. John,Indian River,28.469550,-80.758350,M,C,B,BoIm,,,,,0,,FWCIR,LPZ,rball,,,,281,N,2014-05-21 00:00:00.000,259,N,2014-05-21 00:00:00.000,,LPZ,vedmonds,2014-05-27 07:22:25.463,dszemer,2015-10-09 11:51:29.467
1594,2014-05-31 00:00:00.000,1,FL,Brevard,Cape Canaveral,Port Canaveral,28.409300,-80.637950,M,S,A,TrGa,,,,,0,,,,,"FWC received a call from the Canaveral Locks regarding a manatee trapped on the inside door of lock gate #3 (NE side). Army Core's, Sharon Tyson and FWC's Christine Rush responded to the scene. BCSO dive team was sent to assess how the manatee got into the gate. After inspecting the gate, there was a large hole that ran from 8 to 16 feet down the gate.  ",Canaveral Locks,,,,,245,Y,2014-05-31 00:00:00.000,"The dive team attempted to spook the manatee towards the hole to get out but that was unsuccessful.  Another hole was created, much more shallow, where the manatee preferred to rest. A hose was run from the outside of the hole, in, so the manatee would detect the it.  The manatee eventually swam out around 1400 hrs.",FWCIR,crush,2014-06-10 06:10:33.637,dszemer,2015-10-09 12:12:08.987
1595,2014-06-22 00:00:00.000,1,FL,Charlotte,Harbor Heights,Whidden Bay ,27.000300,-81.994840,Y,C,B,BoBo,,,,,0,,FWCSW,LPZ,rball,,,,532,N,2014-06-22 00:00:00.000,284,N,2014-06-22 00:00:00.000,,LPZ,vedmonds,2014-06-25 15:39:27.300,dszemer,2015-12-11 11:50:48.350
1596,2014-06-11 00:00:00.000,1,FL,St. Lucie,Port St. Lucie,St. Lucie River,27.336895,-80.338986,N,C,B,BoPr,,,,,0,,FWCT,MSQ,mrodriguez,,,,,,,202,N,2014-06-11 00:00:00.000,,MSQ,jlinvill,2014-06-26 10:44:12.000,D,2014-06-26 10:44:12.000
1597,2014-07-21 00:00:00.000,1,FL,Brevard,Port St. John,Indian River Lagoon,28.467990,-80.764430,N,G,B,NaDp,,,,,0,,FWCIR,SWF,lcroft,"FWC-Indian River Field Lab
SWF",,,22,N,2014-07-21 00:00:00.000,110,N,2014-07-21 00:00:00.000,"Animal observed out in the IRL, near the FPL plant, west side of intake canal by itself. Calf was trying to nurse off of several different animals in the area, FWC determined there was no mother and was able to hoop net catch the calf and transport to SWF.",SWF,bwagoner,2014-08-04 08:42:31.960,dszemer,2016-01-12 12:08:16.790
1598,2014-08-24 00:00:00.000,1,FL,Pasco,New Port Richey,Trouble Creek,28.233760,-82.752950,U,G,B,BoIm,,,,,0,,MMPL,LPZ,rball,,,,313,N,2014-08-24 00:00:00.000,257,N,2014-08-24 00:00:00.000,found in 12' of water.  Not sinking or buoyant. Demonstrating some buoyancy issues. No resistance to capture.,LPZ,vedmonds,2014-08-28 17:04:21.607,dszemer,2016-01-12 12:16:25.670
1599,2014-08-28 00:00:00.000,1,FL,Charlotte,Punta Gorda,Alligator Creek,26.884410,-82.024170,N,C,B,BoUn,chonic,Huma,passing large amounts of plastic bags,,0,,MMPL,LPZ,rball,,,,655,N,2014-08-28 00:00:00.000,339,N,2014-08-28 00:00:00.000,"Manatee has been identified in the MIPS database as CH085.  First observed in 1998 as an adult female.
",LPZ,vedmonds,2014-09-04 11:16:18.527,dszemer,2016-01-15 11:37:16.603
1600,2014-08-26 00:00:00.000,1,FL,Pinellas,Clearwater,Allen Creek,27.936120,-82.728280,N,G,B,Enta,,,,,0,,MMPL,LPZ,rball,rescued with uninjured calf RNW1409,,U,377,N,2014-08-26 00:00:00.000,268,N,2014-08-26 00:00:00.000,,LPZ,vedmonds,2014-09-24 08:49:49.487,dszemer,2016-01-12 12:34:12.860
1601,2014-08-26 00:00:00.000,1,FL,Pinellas,Clearwater,Allen Creek,27.936120,-82.728280,M,S,B,Calf,,,,,0,,MMPL,LPZ,rball,,,,152,N,2014-08-26 00:00:00.000,203,N,2014-08-26 00:00:00.000,,LPZ,vedmonds,2014-09-24 08:59:12.410,dszemer,2016-01-12 12:33:28.990
1602,2014-09-15 00:00:00.000,1,FL,Lee,St. James City,Matlacha,26.538660,-82.073060,M,G,B,BoIm,,,,,0,,FWCSW,LPZ,rball,"FWC SW, FWC MMPL, Lee Co. DNR, FWC LE
",,,222,N,2014-09-15 00:00:00.000,220,N,2014-10-02 00:00:00.000,,LPZ,vedmonds,2014-09-24 09:05:51.633,dszemer,2016-01-15 12:30:40.727
1603,2014-10-07 00:00:00.000,1,FL,Charlotte,Placida,Gasparilla Sound,26.834840,-82.261120,N,G,B,BoIm,,,,,0,,FWCSW,LPZ,rball,,,,694,N,2014-10-07 00:00:00.000,316,N,2014-10-07 00:00:00.000,,LPZ,vedmonds,2014-10-15 08:51:23.487,dszemer,2016-01-20 11:27:12.337
